时间,点赞,评论
2021.07.31,0,毕业的大哥哥大姐姐，要加油啊
2021.07.31,0,记念啊！这首歌是高中班主任播的，现在大一，想念高中[大哭]
2021.07.31,0,转眼间三年已逝，感觉没有什么实感，时间在不经意间便已溜去，而我仍旧不知上进，现在高考结束，三年的混子生活导致高考的失利，只能寄望于大学的自己，上海师范大学，我相信会在那里遇见崭新的，未来可期的自己[辣眼睛][辣眼睛][辣眼睛]
2021.07.31,0,开屏就是我的武大[大哭]
2021.07.31,0,那就再见吧
2021.07.31,0,团团快醒醒，该分享老薛的歌了
2021.07.31,0,为什么这些涉及高校的全是985😳
2021.07.31,0,我当年6月底就毕业了，是因为疫情改到7月底了吗
2021.07.31,0,"听风雪喧嚷，看流星在飞翔，
我的心向我呼唤，去动荡的远方
                      ——《歌唱动荡的青春》"
2021.07.31,0,我的学生时代还是结束了啊。。。[大哭]
2021.07.31,0,希望可以为国所用，不负清华，为民所用，不忘北大。
2021.07.31,0,20年毕业生，工作一年多了，看着熟悉的学校场景，现在又处在疫情中心南京，等疫情结束，一定回珈好好看看，看看我走过的四年，最爱的武带
2021.07.31,0,破防了
2021.07.31,0,毕业的时候大家没有想象的那么悲伤，毕业典礼前一天晚上吃了饭，然后大家回了学校，第二天毕业典礼，然后拍完照大家就陆陆续续的走了，没什么感觉，不过回家之后感觉少了什么，看到邻居妹妹放暑假才明白，少了放假后重聚的期待。
2021.07.31,0,"轻轻的我走了，
正如我轻轻的来；
我轻轻的招手，
作别西天的云彩。"
2021.07.31,0,此去一别经年
2021.07.31,0,高三复读生过来看看
2021.07.31,0,当时不觉得，现在想想还是不够珍惜大学生活，毕业的时候也没有觉得多惆怅，现在想想应该更珍惜！
2021.07.31,0,因为离别的时候忘了约定再会的时间地点，从此便天各一方[大哭]
2021.07.31,0,同21年毕业，三年后再毕业希望能成为自己想成为的人
2021.07.31,0,初入校门至今，没有遇到对我坏的人，遇到的都是对我成长有助的人，无论是什么，都让我成长成现在的我。我虽然还未毕业，在短暂的人生旅途中遇到且相识，还是想说声谢谢。我们有缘再见[拥抱][拥抱]
2021.07.31,0,感觉毕业和放假一样，走出这个校门之后没过几天又能回来上课。
2021.07.31,0,马上就要上大学啦哈哈，期待[打call]
2021.07.31,0,毕业了参军去，现在报名还有时间
2021.07.31,0,去年的这个时候，我毕业了，没考上高中，到哈尔滨上了中专，今年的这个时候放假回来，却发现仅仅一年，就物是人非了，毕业的时候很多话都没说出来，现在再去说已经不是那个滋味了，毕业之前千万别像我一样留下遗憾
2021.07.31,0,明年就毕业了
2021.07.31,0,终点虽重要，但是也要留意沿途的风景阿
2021.07.31,0,我毕业的时候因为转专业直到最后一刻都在补修和赶考试，除了拍毕业照没参加成任何活动，确实感觉有些遗憾
2021.07.31,0,眼前行实事，心中有远方。
2021.07.31,0,还有一个月就成为大一新生了，不敢和他们打招呼，不知道未来四年和谁在一起，和谁一寝室，和谁同窗，但求好好珍惜这四年，希望这4年的时光能慢一点[拥抱]
2021.07.31,0,该放下的放下，该抓住的抓住。
2021.07.31,0,大专不算大学吗[大哭][大哭][大哭][大哭]
2021.07.31,0,你每得一分都是为了遇见更好的自己，你每丢一分都是为了遇见正确的人
2021.07.31,0,@南京工业大学 老工快来
2021.07.31,0,恰同学少年，风华正茂
2021.07.31,0,求个bgm
2021.07.31,0,学大汉武立国
2021.07.31,0,暑假真实带来后，你并没有像之前想的那样，和喜欢的人一起去吃去玩，一起去看电影，一起起早床去看日出，一起逛街聊天，也没有和朋友动不动聚在一起，只不过是窗外的高温依旧，蝉鸣不绝于耳，你在空调房里仿佛觉得这些已经足够，但时不时又总感觉缺些什么，就像是缺了一顿饭，缺了一次聚会，也缺了那个你之前心心念念的人，最后你缺了一个你想要的夏天，斗转星移迎来了冬天
2021.07.31,0,散伙饭吃了3次，当时还在笑事不过三，结果  唉 江湖再见
2021.07.31,0,我扭头就走，头都不带回的[doge]
2021.07.31,0,毕业一个月了，这首歌听着有点受不了
2021.07.31,0,与君同舟渡 达岸各自归。
2021.07.31,0,怀念那时的我们，那些我们一起经历的风风雨雨，仍会感叹时光荏苒，白驹过隙，但也少了些许悲伤。你们的欢笑与泪水，兴奋与沮丧，都深深地刻在我的记忆里，留待我在今后的日子里能偶然想起，然后细细回味。相聚有时，离别有时，愿前程似锦，不负韶华。
2021.07.31,0,"今年的毕业生不容易，又多几百万培训机构下岗的辅导老师，就业压力更大了，特别是普通本科学生，竞争更大了。[来古-沉思]
[奋斗]"
2021.07.31,0,毕业快乐！
2021.07.31,0,大概今生都很难再见了吧
2021.07.31,0,准高三，为了梦想而努力
2021.07.31,0,高三明天开学咯[跪了]
2021.07.31,0,你到底是怀念青春，还是怀念出现在你青春里的人
2021.07.31,0,很多都是武大的啊
2021.07.31,0,我会好好怀念我在南工度过的四年时光，对我而言，这是一份宝贵的回忆。希望毕业后大家也一切安好，在南京的诸位平平安安。
2021.07.31,0,好好道个别，再整理好心情再出发，奔赴人生新的旅途[给心心]
2021.07.31,0,前程似锦！[大哭]
2021.07.31,0,再见了，我毕业了
2021.07.31,0,毕业啊，我今年也毕业了，远离家乡来新疆工作了，远离了一直以来的朋友们，但是，我深信，后会有期[脱单doge]
2021.07.31,0,bgm是什么鸭
2021.07.31,0,或许不是每一个人都有美好如歌的青春，但每个人的青春都是其独一无二的故事。
2021.07.31,0,学大汉（以）武立国
2021.07.31,0,毕业快乐，未来可期[保佑][保佑]
2021.07.31,0,同样献给进去的凡凡老师
2021.07.31,0,毕业，意味着我们将在国家的任何角落发光
2021.07.31,0,毕业快乐
2021.07.31,0,那就好好告个别吧，XUT再见
2021.07.31,0,再见枣庄学院，再见416，再见根号七乐队，再见信科文艺部，愿大家走出半生归来仍是少年。
2021.07.31,0,破防了，毕业晚会的结束曲，虽然四年一堆破事一堆破人，但是真的很感谢相遇的这四年[大哭]
2021.07.31,0,吴亦凡刚进去你说什么未来再见我差点误会[doge][doge]
2021.07.31,0,明天就开学了，希望我高三能考上去[tv_发怒]
2021.07.31,0,排面嗷
2021.07.31,0,大新闻，某签被逮了
2021.07.31,0,毕业一年了，可惜我连毕业典礼都去不了[难过]
2021.07.31,0,一日归属吉大，一生念念不忘，懂[doge]
2021.07.31,0,好吧我承认爱情是人类永远的主题
2021.07.31,0,我喜欢你，小毛，你会转过头看我一眼吗？这是我们最后一次的见面了吗？三年的我们只剩下一张班级大合照，小毛，我好想你
2021.07.31,0,"""我只想好好铭记这瞬间"""
2021.07.31,0,你才二十岁出头，你还年轻，你还有大好的奋斗光年，想做什么就拼尽全力去做，成为自己真正想成为的人，永远不要在路上停歇
2021.07.31,0,7班要好好的啊[大哭][大哭]，一起加油，奔向美好的未来! ! !
2021.07.31,0,今年考研，希望能上岸，报效祖国，为国家发展贡献自己的力量
2021.07.31,0,@武汉大学
2021.07.31,0,希望两年（做梦的时间）或者三年（不能太多了）后能穿上红红的学位服毕业[doge][doge]
2021.07.31,0,毕业有期，人生无限！
2021.07.31,0,毕业了去当小三，吃绝户，美滋滋！
2021.07.31,0,都会成为很棒的大人，也许不够有钱，也许不够幸运，也许不够耀眼，但是还是会成为一个很棒的大人
2021.07.31,0,我也想去武大。
2021.07.31,0,看到武汉大学宿舍跟我们学校差不多，心里就舒服了
2021.07.31,0,未来可期[打call]
2021.07.31,0,想起了去年自己毕业时的样子，学生时代一去不复返了。
2021.07.31,0,一生难忘的...
2021.07.31,0,过了这个六月，我连偷看你的机会都没有了
2021.07.31,0,离高中毕业过了一年了，还是很怀念那些人
2021.07.31,0,毕业快乐！前程似锦呀！[牛年][牛年]
2021.07.31,0,我最大的遗憾就是没有和我喜欢的女孩好好的道个别。
2021.07.31,0,时间啊
2021.07.31,0,祝我们都有美好的未来
2021.07.31,0,明年硕士毕业，我的学生时代结束
2021.07.31,0,毕业快乐！
2021.07.31,0,明年冲！[胜利][打call]
2021.07.31,0,毕业快乐
2021.07.31,0,相信你，加油，后会有期
2021.07.31,0,听说评论区炸了?
2021.07.31,0,嘿嘿
2021.07.31,0,这种人各一方的离别痛就像是杀死了过去的自己[拥抱]
2021.07.31,0,至今无法忘记毕业时宿舍里空荡荡的样子，还有那一坐到天亮的酒摊
2021.07.31,0,精彩才刚刚开始[响指]
2021.07.31,0,我读了那么多书，也没有读到有你的那一页
2021.07.31,0,人呢？
2021.07.31,0,开幕南师大，直接泪目[难过]
2021.07.31,0,那么，我们未来再见！
2021.07.31,0,[给心心]
2021.07.31,0,愿毕业后，我们还是我们。
2021.07.31,0,铭记这份感动，珍惜现在的生活，不负流年
2021.07.31,0,青涩的美好
2021.07.31,0,[洛天依_耶]
2021.07.31,0,真快
2021.07.31,0,2023高考加油！[打call]
2021.07.31,0,转眼属于我的毕业季已经过去快五年了
2021.07.31,0,毕业季
2021.07.31,0,一评论?
2021.07.31,0,痛哭过大笑过挥挥手去远方
2021.07.31,0,[给心心]
2021.07.31,0,为什么没评论……
2021.07.31,0,未来可期，前途似锦
2021.07.31,0,来啦
2021.07.31,0,可能这辈子也上不了大学了
2021.07.31,0,我穿越了？
2021.07.31,0,bgm？
2021.07.31,0,群演来了[脱单doge]
2021.07.31,0,青春不散场
2021.07.31,0,破防，无限的记忆，感伤怀念
2021.07.31,0,可是……真的结束了，离开，再见
2021.07.31,0,那就好好的告个别吧。
2021.07.31,0,你还年轻，现在经历过了，未来无限可能。
2021.07.31,0,再见学生时代，再见同学们，再见老师们
2021.07.31,0,怎么会事呢，评论没有了[打call]
2021.07.31,0,看哭
2021.07.31,0,都开始工作了[笑哭]
2021.07.31,0,还有2年毕业了。现在就舍不得我寝室的那些崽了
2021.07.31,0,[热词系列_你币有了][热词系列_好耶][热词系列_再来亿遍][吃瓜]
2021.07.31,0,过气的团团[doge]
2021.07.31,0,都去看吴某凡了，没人看这个了[笑哭]
2021.07.31,0,纪念多年毕业曲了[脱单doge]
2021.07.31,0,今年高三，我一定要考上武汉大学！[奋斗]
2021.07.31,0,毕业快乐！未来只会越来越好！👌🏻
2021.07.31,0,好快，2年转眼间就过去了，我马上也要高考了，冲冲冲
2021.07.31,0,今天是7月31号
2021.07.31,0,毕业参加一个月工作，最近集中异地培训，现在的我忙活了一天在和同事在吃外卖[藏狐]怀念学校啊，再无同学，只有同事了。[无语]
2021.07.31,0,今年大学毕业了 没想到离开一个月就这么想念大学[大哭][大哭][大哭] 我好怀念校园时光啊 啊 我考上研究生了啦 九月继续开学[狗子]
2021.07.31,0,七分钟！！！前排！！！
2021.07.31,0,20级毕业生连毕业照都没拍，哭了
2021.07.31,0,我只想要拉住流年  好好地说声再见
2021.07.31,0,榆次一中再见！山西师范大学，你好！
2021.07.31,0,就算我不是金子，我也要努力去发光[呲牙]
2021.07.31,0,明年就要毕业了，我还没有好好逛逛大学所在城市，以后成为老师了，可能就没有机会了。[大哭]
2021.07.31,0,[doge]
2021.07.31,0,20届甚至现在还没有毕业照拍[大哭][大哭][大哭]
2021.07.31,0,wc
2021.07.31,0,Tsinghua，我会来的
2021.07.31,0,善
2021.07.31,0,刚高三  已经看哭了[大哭]
2021.07.31,0,[哭泣]
2021.07.31,0,[大哭][大哭]
2021.07.31,0,怀念两个月前的生活。
2021.07.31,0,怎么没有评论？
2021.07.31,0,愿我归来仍是少年[傲娇]
2021.07.31,0,：我
2021.07.31,0,"啊～好快！
额～原来我是准大一啊[doge]"
2021.07.31,0,你怎么知道我今年毕业[点赞]想他们了，要好好保护自己[给心心]
2021.07.31,0,未来可期
2021.07.31,0,芜湖
2021.07.31,0,怎么没有评论啊？？？
2021.07.31,0,青春易逝，但因此而美丽，充满意义！
2021.07.31,0,4分钟
2021.07.31,0,初闻不知曲中意，再闻已是曲中人
2021.07.31,0,武大排面！！！[打call]
2021.07.31,0,[大哭]
2021.07.31,0,人生下一站，参与一带一路支援摩尔多瓦，请相信，我将穿过风穿过雨回来[给心心]
2021.07.31,0,我的大学季也要到了！
2021.07.31,0,[哭泣][哭泣][哭泣]
2021.07.31,0,时间过得真快啊，还没来得及多看看你们[大哭]
2021.07.31,0,毕业快乐[干物妹！小埋_简单的快乐]
2021.07.31,0,毕业季的纪念总是那么让人动情。[爱心]
2021.07.31,0,刚毕业，很怀念回不去的昨天
2021.07.31,0,《再见》
2021.07.31,0,"00:33:就过去了三年？
另外光年是长度单位"
2021.07.31,0,属于我的青春又在哪里[大哭]
2021.07.31,0,1
2021.07.31,0,"沙发
[干物妹！小埋_变身]"
2021.07.31,0,我仿佛看到四年后的自己[奋斗][奋斗]
2021.07.31,0,为啥我评论没了
2021.07.31,0,学大汉武立国
2021.07.31,0,真的好有感觉  山高水长 江湖莫忘 但一定难说再见 难以面临真的毕业的那天 这肆意妄为的大学生活  生命里也许有无数个夏天 但没有一季 会如今夏一般 让人神情[大哭][大哭][大哭]
2021.07.31,0,"🌸我，还没毕业，嗯，开学高三。
我和你，半年了，没有讲过一句话……
没有告别，也没有一次好好的告别……
如果，我成为了热评，我的评论会靠前，就有机会被你看见了，对不对？
那，我们永远 也别相互告别，好吗？"
2021.07.31,0,看见南京工业大学了
2021.07.31,0,好早好早
2021.07.31,0,你好，林檬，再见，林檬[微笑]
2021.07.31,0,打破零评论
2021.07.31,0,来了，不舍得
2021.07.31,0,[2233娘_大哭][2233娘_大哭][2233娘_大哭]……哦不对，我还没毕业[doge]
2021.07.31,0,武大2011届毕业生[热词系列_打卡]
2021.07.31,0,毕业快乐[打call][打call][打call][打call]
2021.07.31,0,"我，还没毕业，嗯，开学高三。
我和你，半年了，没有讲过一句话……
没有告别，也没有一次好好的告别……
如果，我成为了热评，我的评论会靠前，就有机会被你看见了，对不对？
那，我们永远也别相互告别，好吗？"
2021.07.31,0,"🌸我，还没毕业，嗯，开学高三。
我和你，半年了，没有讲过一句话……
没有告别，也没有一次好好的告别……
如果，我成为了热评，我的评论会靠前，就有机会被你看见了，对不对？
那，我们永远也别相互告别，好吗？"
2021.07.31,0,愿你我，愿祖国，愿中华民族，未来可期！
2021.07.31,0,华科等我呀，等我五个月[打call]
2021.07.31,0,执手相看泪眼，竟无语凝噎。
2021.07.31,0,光年成纪念[拥抱]
2021.07.31,0,我们毕业用的也是这首曲子[大哭][大哭][大哭][大哭][大哭]
2021.07.31,0,明年高考，希望能去目标学校！加油！[奋斗]
2021.07.31,0,刚中考毕业[大哭]看到了感触好大[大哭]
2021.07.31,0,未来再见！
2021.07.31,0,[tv_呆]
2021.07.31,0,第一竟是我自己[doge]
2021.07.31,0,未来可期
2021.07.31,0,武大等我[tv_抓狂][tv_抓狂][tv_抓狂]
2021.07.31,0,明天开学[奋斗]
2021.07.31,0,可恶啊，明年就初中毕业了[大哭][大哭][大哭]
2021.07.31,0,我这一文不值又宛若黄金的宝贵青春啊
2021.07.31,0,团团的毕业视频喔，明年就是我了
2021.07.31,0,我武这么排面嘛[给心心][给心心][给心心]
2021.07.31,0,呜呜呜呜
2021.07.31,0,我评论呢？
2021.07.31,0,毕业，加油，向前
2021.07.31,0,离别是最好的重逢[大哭]
2021.07.31,0,祝毕业的小伙伴们前程似锦，大展宏图！[大笑]
2021.07.31,0,好快[tv_doge]
2021.07.31,0,再见
2021.07.31,0,未来之路，天高水长[奋斗]
2021.07.31,0,"可乐冒泡的味道，是小时候灿烂，后来，从冰块里抽出的啤酒，变成了我们致敬的青春，岁月又要过多久，沉淀成细细的酒花，白酒剔透里藏着多少人生，一浪，又是一浪，很多话，藏在酒杯，用微醺的红脸说着一浪又一浪的人间心事。
　　
　　人生，也来醉几回，才来人生。无论何境，泰然处之。"
2021.07.31,0,没机会了，该散的早散了，各自奔向不同的人生了，早已不是那个青涩的少年了
2021.07.31,0,未来见
2021.07.31,0,[大哭]
2021.07.31,0,不能看不能看，点赞就走，不然眼睛会进沙子！！！
2021.07.31,0,珍惜吧，以后再聚齐真的不容易，大叔不骗你们。
2021.07.31,0,一定要好好生活啊[胜利]
2021.07.31,0,前排[脱单doge]
2021.07.31,0,再见了高中，你好大学。
2021.07.31,0,我们终将相遇，相知，相识
2021.07.31,0,毕业快乐。
2021.07.31,0,毕业不知不觉就16年了。时间真是一转眼。仿佛毕业就在昨天。
2021.07.31,0,"我怕我没有机会
跟你说一声再见
因为也许就再也见不到你
明天我要离开"
2021.07.31,0,夏天结束了，新的故事也要开始了
2021.07.31,0,？？
2021.07.31,0,不再回头[委屈]
2021.07.31,0,给我个赞吧 彦祖们
2021.07.31,0,明年就要大四了[捂眼]
2021.07.31,0,后来才知道   后会有期是再也不见的意思
2021.07.31,0,未来已来，梦想值得期待。
2021.07.31,0,湖南大学的集合了，毕业快乐
2021.07.31,0,来一个吻别
2021.07.31,0,前。。[不问天_来了！]
2021.07.31,0,怀念
2021.07.31,0,毕业啦！！毕业快乐
2021.07.31,0,热乎的
2021.07.31,0,三连了[微笑]
2021.07.31,0,纪念我悄悄逝去的大学时光
2021.07.31,0,但我还是想回到那个夏天
2021.07.31,0,晚安
2021.07.31,0,一分钟前[脱单doge]
2021.07.31,0,说句题外话，加拿大牙签被捕了
2021.07.31,0,今年毕业了。走向工作，祝我们都前程似锦！
2021.07.31,0,作为一名准大一，我貌似看到了自己四年后的样子，加油！[打call]
2021.07.31,0,加油[点赞][点赞][点赞]
2021.07.31,0,晚上了，还让人哭
2021.07.31,0,来啦 第一！！嘻嘻[给心心]
2021.07.31,0,经典1播放，4弹幕[妙啊]
2021.07.31,0,工作狗  怀念
2021.07.31,0,[Cat_escort]
2021.07.31,0,再见，只为再见
2021.07.31,0,[打call][打call][打call]
2021.07.31,0,一分钟，我出息了！！
2021.07.31,0,吴亦凡进去了，好耶！
2021.07.31,0,其实这一次分别，很多人这辈子也不会再相见了。
2021.07.31,0,头条
2021.07.31,0,离别是最好的重逢，期待下一次相遇[大哭]
2021.07.31,0,毕业啦！！，
2021.07.31,0,毕业快乐！！
2021.07.31,0,？？？？？？？？？没有评论
2021.07.31,0,我来啦！
2021.07.31,0,兄弟们再见!一路顺风!
2021.07.31,0,[热词系列_知识增加][热词系列_知识增加]
2021.07.31,0,人生有梦，各自精彩
2021.07.31,0,嘶
2021.07.31,0,毕业快乐！！
2021.07.31,0,哦吼吼
2021.07.31,0,唉，毕业，总是那么伤感
2021.07.31,0,啊来啦！
2021.07.31,0,啊啊啊[doge]
2021.07.31,0,刚刚，吴亦凡被抓！关爱青少年
2021.07.31,0,哦，明天开学
2021.07.31,0,武大[热词系列_排面]
2021.07.31,0,毕业快乐[呲牙]
2021.07.31,0,还没毕业
2022.06.10,0,"要跟曾经的自己说再见了,再见了学士楼"
2022.06.04,0,西大！
2022.06.01,0,我高中不完整，我青春回不来了？[doge]想哭
2022.05.20,0,我不想好好告别，因为我们还要见面
2022.05.18,0,好想回宿舍再睡一晚
2022.05.06,0,倒计时一个月
2022.05.01,0,只想逃离
2022.05.01,0,武大，期待毕业的夏天[调皮]
2022.04.13,0,铭记梦归处，不忘来时路
2022.04.10,0,正德厚生，笃学敏行
2022.04.09,0,哭了
2022.03.15,0,原来，还有三个月也要大学毕业啦~
